,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
0,2461135,TARZAN,,,,,,4.0,LE BLUE DIAMOND V'T RUYTERSHOF,1479481.0,GASKIA VAN DE HOENDERHEIDE,1943878.0,ORLANDO,6939.0,2019,BWP (Belgium Warmblood),056002W00324321,,1622855.0,1,,False
1,2461121,COOL THUNDER,,,,,,12.0,COLMAN,17031.0,FIETA,207204.0,FOR PLEASURE,15154.0,2019,Hannoveraner Verband e.V,,,1622841.0,0,,False
2,2461118,FOR SPECIAL PLEASURE,,,,,,12.0,FOR PLEASURE,15154.0,SPECIAL SUNRISE,1663927.0,SPECIAL MEMORIES,263884.0,2019,Hannoveraner Verband e.V,,,1622838.0,0,,False
3,2461035,OSORNO,,,,,,1.0,CYBER BOY,1799926.0,DOREEN VAN DE LINGEHOEVE,2040983.0,GLOCK'S LONDON,117863.0,2019,KWPN (Royal Dutch Sporthorse),528003201908613,,1622765.0,0,,False
4,2460920,CASALIN,,,,,,27.0,CASALAM LS,2045010.0,STECY,47284.0,VOLTAIRE,31.0,2019,Cr. de Caballo Dep. Mexicanos,,,1622593.0,1,,False
5,2460911,CARAVELLA PRO,CARAVELLA-PRO,,,,,7.0,CONCALIDO-PRO,1977417.0,SAWANNAH,2209667.0,LANDJONKER S,546005.0,2019,Anglo European Studbook,826002190887161,,1622584.0,2,,False
6,2460838,C,,,,WESTF,,13.0,CORNADO I,102430.0,CRACKER JANE,588024.0,CORONINO,20482.0,2019,Westfälisches Pferdestammbuch e.V.,276441410812019,,1622426.0,0,,False
7,2460837,THADDEUS MF,,,,WESTF,,13.0,TALOUBET Z,85845.0,U-CASHIRA-S,1988769.0,CASH AND CARRY,89458.0,2019,Westfälisches Pferdestammbuch e.V.,276441411272219,,1622423.0,0,,False
8,2460771,RENAISSANCE RD,,,,,,52.0,OBOS QUALITY 004,193952.0,,,,,2019,Irish Sport Horse,372414020443651,,1622323.0,2,,False
9,2460662,OMINE,,,,,"D-OC, ster, voorl.keur",1.0,JUBEL ES,1648702.0,HALINE,2021955.0,WARRANT,36412.0,2019,KWPN (Royal Dutch Sporthorse),528003201901236,,1622245.0,2,,False
